transaction_date,total_canceled_ahead_days,total_bookings,total_booked_ahead_days,cancelation_rate,seven_day_rolling_avg
2020-09-14,1822,7495,72929,0.06964643095396932,0.08325460412593674
2020-09-15,1733,8754,86128,0.06614119259766964,0.08139358200577317
2020-09-16,3107,8483,81084,0.06990451491217729,0.07992722721128778
2020-09-17,2321,8740,77892,0.08226544622425629,0.07947551877993211
2020-09-18,625,10398,74024,0.06366608963262166,0.07684544300118165
2020-09-19,-848,11851,55248,0.04666272888363851,0.07228151176633471
2020-09-20,1335,9049,58884,0.06210631008951265,0.06730786109155523
2020-09-21,-945,7820,75802,0.05843989769820972,0.06485407637400688
2020-09-22,125,7863,71920,0.05964644537708254,0.06360407817689603
2020-09-23,1368,8658,69116,0.051166551166551166,0.06173224799800623
2020-09-24,-930,8890,69307,0.05691788526434196,0.06010891929202681
2020-09-25,974,11934,71010,0.04147812971342383,0.05501050472817275
2020-09-26,540,13169,60477,0.04556154605512947,0.05274743678098623
2020-09-27,-329,9325,52877,0.05705093833780161,0.05404596296275662
2020-09-28,1024,7927,68132,0.05802951936419831,0.053536364122092325
2020-09-29,1628,8051,77549,0.05440317972922618,0.053031774375969384
2020-09-30,678,8377,74014,0.04786916557240062,0.051559614400384146
2020-10-01,-1329,13450,82262,0.03687732342007435,0.04977346093207454
2020-10-02,-1091,12468,74188,0.042428617260186076,0.047962302431555054
2020-10-03,329,12965,57352,0.03609718472811416,0.047289684308391346
2020-10-04,170,9662,58487,0.04181328917408404,0.04682115219826067
2020-10-05,1180,8733,71601,0.04832245505553647,0.045730091787977524
2020-10-06,2279,9320,71075,0.0473175965665236,0.04439110143826819
2020-10-07,885,9852,69371,0.050243605359317906,0.043871154642029654
2020-10-08,115,9722,64142,0.046286772269080435,0.04367335547911463
2020-10-09,904,12287,63927,0.03865874501505656,0.043896033178487406
2020-10-10,-942,13332,43102,0.050555055505550554,0.044911837959157964
2020-10-11,84,10500,55692,0.05152380952380953,0.04684016605861989
2020-10-12,-1707,8677,58643,0.04679036533364066,0.047462300578564466
2020-10-13,1322,8813,59253,0.057755588335413596,0.048641442238549104
2020-10-14,-316,8919,62092,0.059311582015921065,0.050140690419723785
2020-10-15,1286,9658,61850,0.04483329881963139,0.04946440210226297
